student_id,gender,school_type,prior_gpa,attendance_pct,quiz_avg,assign_avg,midterm,study_hours_wk,on_time_submit_pct,lms_logins_wk,forum_posts,parent_edu,commute_min,final_score,final_grade_band,passed
S0001,Male,Public,2.92,72.6,73.0,74.5,73.0,11.2,75.4,4.5,27,High School,93,79.8,C,1
S0002,Female,Public,3.43,70.0,80.7,71.4,86.5,5.8,80.9,7.7,29,High School,2,84.7,B,1
S0003,Female,Private,1.77,83.2,73.3,81.5,86.2,13.0,61.4,10.6,0,High School,54,70.3,C,1
S0004,Male,Public,2.6,81.0,96.9,78.7,61.2,13.8,59.2,5.4,2,None,32,70.6,C,1
S0005,Female,Public,3.38,61.1,87.2,39.2,70.9,2.2,82.7,5.0,7,High School,109,60.3,D,1
S0006,Female,Private,2.85,91.5,66.3,78.0,40.0,4.8,68.6,5.6,8,Master,64,59.9,D,1
S0007,Male,Public,3.83,76.9,66.2,61.0,69.5,10.5,58.2,3.4,8,None,73,78.3,C,1
S0008,Female,Private,1.7,64.7,75.6,56.4,56.1,8.7,94.5,6.9,12,Bachelor,52,44.2,F,0
S0009,Female,Private,1.62,92.3,59.9,69.9,65.2,9.9,70.5,6.1,9,Bachelor,13,56.6,D,1
S0010,Female,Private,3.34,85.5,84.0,76.5,42.7,6.6,97.2,3.9,17,Bachelor,74,68.0,C,1
S0011,Male,Public,3.41,62.8,74.3,54.0,74.1,13.5,80.4,7.3,25,Bachelor,73,55.2,D,1
S0012,Male,Public,2.66,99.3,73.1,79.8,42.6,13.1,84.4,5.0,16,None,45,77.1,C,1
S0013,Female,Private,3.08,85.9,78.2,80.4,70.2,10.3,76.8,2.6,9,None,75,82.3,B,1
S0014,Male,Private,3.32,77.9,90.7,72.5,49.6,14.5,40.2,5.9,17,Bachelor,46,63.5,D,1
S0015,Male,Public,2.23,97.1,72.1,62.5,55.3,11.9,62.9,5.6,18,PhD,79,71.0,C,1
S0016,Female,Public,2.31,79.9,68.6,61.2,85.3,6.6,78.1,7.4,26,High School,41,50.7,D,1
S0017,Female,Private,2.93,77.7,88.1,83.3,76.8,11.5,85.5,7.1,28,Bachelor,92,76.3,C,1
S0018,Female,Private,3.43,70.1,81.6,55.4,85.2,6.2,53.2,4.7,8,PhD,106,65.5,C,1
S0019,Female,Public,1.98,85.0,66.1,83.7,91.4,13.5,79.2,3.8,27,Bachelor,58,71.8,C,1
S0020,Male,Public,2.66,83.7,70.1,70.2,56.4,9.8,63.2,5.0,24,Bachelor,2,62.7,D,1
